no_sucursal,num_tienda,nombre_excel,nombre_bd,lat_excel,lon_excel,lat_bd,lon_bd,dist_m,flag,estado_revision
20,20,Tiendas Lores Vicente Camalote,Vicente Camalote,18.5106078,-96.5361903,18.5107807,-96.5362225,20,,ok
21,21,Tiendas Lores Alvarado,Alvarado,18.7692639,-95.7609341,18.7693452,-95.7609502,9,,ok
22,22,Tiendas Lores Cabada,Ángel R. Cabada,18.596792,-95.443629,18.5969954,-95.443629,23,,ok
23,23,Tiendas Lores Tetela,Tetela,18.5058109,-96.4583323,18.5060958,-96.4583752,32,,ok
24,24,Tiendas Lores Tierra Blanca 2,Tierra Blanca 2,18.4533107,-96.349987,18.4535549,-96.3499763,27,,ok
25,25,Tienda Lores Independencia (Sucursal 3),Tierra Blanca 3,18.4570026,-96.3650391,18.4572876,-96.3648674,36,,ok
26,26,Tiendas Lores Potrero,Potrero,18.8906388,-96.8012121,18.8909433,-96.8013087,35,,ok
27,27,Tiendas Lores Cosamaloapan 2,Cosamaloapan 2,18.3682069,-95.7897762,18.3684606,-95.789804,28,,ok
28,28,Tiendas Lores Ignacio,Ignacio de llave,18.723169,-95.9870553,18.7233519,-95.9869266,24,,ok
29,29,Tienda Lores Piedras Negras,Piedras Negras,18.7702281,-96.1706895,18.7703906,-96.1704964,27,,ok
30,30,Tienda Lores Tlalixcoyan,Tlalixcoyan,18.8018343,-96.0630107,18.8020679,-96.0630536,26,,ok
31,31,Tiendas Lores Hidalgo,Tuxtepec 4 (Hidalgo),18.0831913,-96.1188031,18.0833647,-96.1187924,19,,ok
32,32,"Tiendas Lores (Santiago Tuxtla, Centro)",Santiago Tuxtla 1,18.4647393,-95.3008051,18.4648561,-95.300933,19,,ok
33,33,Tiendas Lores Chiltepec,Chiltepec,17.9465723,-96.1722835,17.9467181,-96.1720304,31,,ok
